series,target_event,first_release,first_growth,maturity_date,mature_growth
PAYEMS,2013-11-01,2013-12-06,0.14854005445883445,2014-05-31,0.19974637402260242
PAYEMS,2013-12-01,2014-01-10,0.05407775636019352,2014-06-30,0.06115629263145905
PAYEMS,2014-01-01,2014-02-07,0.0822162041329122,2014-07-31,0.10475242288521258
PAYEMS,2014-02-01,2014-03-07,0.12716962142285126,2014-08-31,0.16127864011625803
PAYEMS,2014-03-01,2014-04-04,0.13930003993785078,2014-09-30,0.14724819053668625
PAYEMS,2014-04-01,2014-05-02,0.20853252843142656,2014-10-31,0.2201049282707146
PAYEMS,2014-05-01,2014-06-06,0.1568435030915083,2014-11-30,0.16548339006678958
PAYEMS,2014-06-01,2014-07-03,0.2077383245135067,2014-12-31,0.19259836943135156
PAYEMS,2014-07-01,2014-08-01,0.15046853259566006,2015-01-31,0.174964313762338
PAYEMS,2014-08-01,2014-09-05,0.10212375120737249,2015-02-28,0.15294859816759043
PAYEMS,2014-09-01,2014-10-03,0.17801901177527668,2015-03-31,0.17921922585610872
PAYEMS,2014-10-01,2014-11-07,0.15332481348355742,2015-04-30,0.15816276882834046
PAYEMS,2014-11-01,2014-12-05,0.22947513188551483,2015-05-31,0.30203198220810634
PAYEMS,2014-12-01,2015-01-09,0.17971635334621539,2015-06-30,0.23428470241810828
PAYEMS,2015-01-01,2015-02-06,0.18263157921829531,2015-07-31,0.14286478254881274
PAYEMS,2015-02-01,2015-03-06,0.209251841693181,2015-08-31,0.18875159940208164
PAYEMS,2015-03-01,2015-04-03,0.08928572021709158,2015-09-30,0.08432629814780768
PAYEMS,2015-04-01,2015-05-08,0.1578699918340476,2015-10-31,0.13236925162161128
PAYEMS,2015-05-01,2015-06-05,0.19782539887582828,2015-11-30,0.18375212774799365
PAYEMS,2015-06-01,2015-07-02,0.15734090122112576,2015-12-31,0.17284259757239795
PAYEMS,2015-07-01,2015-08-07,0.1514474080268613,2016-01-31,0.15706274820495025
PAYEMS,2015-08-01,2015-09-04,0.1216583660072601,2016-02-29,0.10557730646496566
PAYEMS,2015-09-01,2015-10-02,0.09978918607398413,2016-03-31,0.10476322011712114
PAYEMS,2015-10-01,2015-11-06,0.19015080965303355,2016-04-30,0.20709391560593815
